circuito;nombre_circuito;establecimiento;domicilio;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
171;SANTA FE (GUADALUPE OESTE);E.P.I. Nº 1147 NTRA.S.DE GUADALUPE;P CULLEN 7397;208;146;171;39;34;24;8;45;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
171;SANTA FE (GUADALUPE OESTE);ESC. PRIM. Nº 139 J.STEPHENSON;LAS HERAS 6975;376;341;303;110;71;47;18;84;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
171;SANTA FE (GUADALUPE OESTE);ESC. PRIM. Nº 38 BRIG.GRAL.E.LOPEZ;AVDA GRAL PAZ 7237;340;242;270;92;59;38;23;81;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
171;SANTA FE (GUADALUPE OESTE);ESC. PRIM. Nº 880 D.GUZMAN SILVA;REG 12 DE INFANTERIA 2049;379;324;353;94;63;48;18;79;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
172;SANTA FE (GUADALUPE NORTE);ALERO CORONEL DORREGO;FRENCH 1701;67;51;44;14;15;9;2;14;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD
172;SANTA FE (GUADALUPE NORTE);E.P.I. Nº 1413 MONS.A.DURAN;LOS NOGALES 2451;381;252;309;86;73;37;19;81;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
172;SANTA FE (GUADALUPE NORTE);ESC. PRIM. Nº 42 GRAL.G.LAS HERAS;AVDA A DEL VALLE 8550;464;394;407;124;66;60;30;89;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
172;SANTA FE (GUADALUPE NORTE);ESC.SEC.Nº 3159 MONS.A.DURAN;LOS OLMOS 10395;268;123;158;64;30;29;8;36;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);E.E.S.O. Nº 262 REP.ARGENTINA;RIVADAVIA 7100;458;346;368;133;62;63;22;98;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
175;SANTA FE (MARIA SELVA);E.E.S.O. Nº 684 DR.M.A.QUIROGA;AVDA A DEL VALLE 6301;437;282;297;107;76;54;16;71;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);E.E.S.O.P.I. Nº 8089 A.M.VERNA;DIAGONAL AGUIRRE 2737;306;209;249;97;47;36;28;50;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);E.E.T.P.I.Nº 2056 MONS.C.MACAGNO;ALBERDI 6234;296;248;279;102;59;34;22;66;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
